wavelength_nm,surface_EOL_req,surface_filter_sloan_r,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
915.0,0.65,0.0,0.08863640982804899,0.65,0.0,0.0
920.0,0.65,0.0,0.07957878287062303,0.65,0.0,0.0
925.0,0.65,0.0,0.07408619134558095,0.65,0.0,0.0
930.0,0.65,0.0,0.07061737133979955,0.65,0.0,0.0
935.0,0.65,0.0,0.06801483013846286,0.65,0.0,0.0
940.0,0.65,0.0,0.06596592894153405,0.65,0.0,0.0
945.0,0.65,0.0,0.062127534820207685,0.65,0.0,0.0
950.0,0.65,0.0,0.05663572941102709,0.65,0.0,0.0
955.0,0.65,0.0,0.05157497753262729,0.65,0.0,0.0
960.0,0.65,0.0,0.047592776616351015,0.65,0.0,0.0
965.0,0.65,0.0,0.04367110662141845,0.65,0.0,0.0
970.0,0.65,0.0,0.03964818490351113,0.65,0.0,0.0
975.0,0.65,0.0,0.03876993626292473,0.65,0.0,0.0
980.0,0.65,0.0,0.03876993626292473,0.65,0.0,0.0
985.0,0.65,0.0,0.03529609731277169,0.65,0.0,0.0
990.0,0.65,0.0,0.03019739820851446,0.65,0.0,0.0
995.0,0.65,0.0,0.02509869910425723,0.65,0.0,0.0
1000.0,0.65,0.0,0.02,0.65,0.0,0.0
1005.0,0.65,0.0,0.019,0.65,0.0,0.0
1010.0,0.65,0.0,0.018,0.65,0.0,0.0
1015.0,0.65,0.0,0.017,0.65,0.0,0.0
1020.0,0.65,0.0,0.016,0.65,0.0,0.0
1025.0,0.65,0.0,0.015,0.65,0.0,0.0
1030.0,0.65,0.0,0.014,0.65,0.0,0.0
1035.0,0.65,0.0,0.013,0.65,0.0,0.0
1040.0,0.65,0.0,0.012,0.65,0.0,0.0
1045.0,0.65,0.0,0.011,0.65,0.0,0.0
1050.0,0.65,0.0,0.01,0.65,0.0,0.0
1055.0,0.65,0.0,0.009,0.65,0.0,0.0
1060.0,0.65,0.0,0.008,0.65,0.0,0.0
1065.0,0.65,0.0,0.007,0.65,0.0,0.0
1070.0,0.65,0.0,0.006,0.65,0.0,0.0
1075.0,0.65,0.0,0.005,0.65,0.0,0.0
1080.0,0.65,0.0,0.004,0.65,0.0,0.0
1085.0,0.65,0.0,0.003,0.65,0.0,0.0
1090.0,0.65,0.0,0.002,0.65,0.0,0.0
1095.0,0.65,0.0,0.0009999999999999998,0.65,0.0,0.0
1100.0,0.65,0.0,0.0,0.65,0.0,0.0
1105.0,0.7,0.0,0.0,0.7,0.0,0.0
1110.0,0.7,0.0,0.0,0.7,0.0,0.0
1115.0,0.7,0.0,0.0,0.7,0.0,0.0
1120.0,0.7,0.0,0.0,0.7,0.0,0.0
1125.0,0.7,0.0,0.0,0.7,0.0,0.0
1130.0,0.7,0.0,0.0,0.7,0.0,0.0
1135.0,0.7,0.0,0.0,0.7,0.0,0.0
1140.0,0.7,0.0,0.0,0.7,0.0,0.0
1145.0,0.7,0.0,0.0,0.7,0.0,0.0
1150.0,0.7,0.0,0.0,0.7,0.0,0.0
1155.0,0.7,0.0,0.0,0.7,0.0,0.0
1160.0,0.7,0.0,0.0,0.7,0.0,0.0
1165.0,0.7,0.0,0.0,0.7,0.0,0.0
1170.0,0.7,0.0,0.0,0.7,0.0,0.0
1175.0,0.7,0.0,0.0,0.7,0.0,0.0
1180.0,0.7,0.0,0.0,0.7,0.0,0.0
1185.0,0.7,0.0,0.0,0.7,0.0,0.0
1190.0,0.7,0.0,0.0,0.7,0.0,0.0
1195.0,0.7,0.0,0.0,0.7,0.0,0.0
1200.0,0.7,0.0,0.0,0.7,0.0,0.0
1205.0,0.7,0.0,0.0,0.7,0.0,0.0
1210.0,0.7,0.0,0.0,0.7,0.0,0.0
1215.0,0.7,0.0,0.0,0.7,0.0,0.0
1220.0,0.7,0.0,0.0,0.7,0.0,0.0
1225.0,0.7,0.0,0.0,0.7,0.0,0.0
1230.0,0.7,0.0,0.0,0.7,0.0,0.0
1235.0,0.7,0.0,0.0,0.7,0.0,0.0
1240.0,0.7,0.0,0.0,0.7,0.0,0.0
1245.0,0.7,0.0,0.0,0.7,0.0,0.0
1250.0,0.7,0.0,0.0,0.7,0.0,0.0
1255.0,0.7,0.0,0.0,0.7,0.0,0.0
1260.0,0.7,0.0,0.0,0.7,0.0,0.0
1265.0,0.7,0.0,0.0,0.7,0.0,0.0
1270.0,0.7,0.0,0.0,0.7,0.0,0.0
1275.0,0.7,0.0,0.0,0.7,0.0,0.0
