wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_EOL,surface_filter_sloan_r,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
350.0,0.9250909090909092,0.8029999999999999,0.8029999999999999,0.8029999999999999,0.0,0.0,0.0,0.0,0.0,0.0
355.0,0.9254545454545456,0.797,0.797,0.797,0.0,0.0,0.0,0.0,0.0,0.0
360.0,0.9258909090909093,0.792,0.792,0.792,0.88,0.0,0.0,0.40477905941299214,0.0,0.0
365.0,0.9261818181818182,0.7929999999999999,0.7929999999999999,0.7929999999999999,0.8802941176470589,0.0,0.0,0.4065777544301547,0.0,0.0
370.0,0.9265090909090912,0.802,0.802,0.802,0.8805882352941178,0.0,0.0,0.42086776998633835,0.0,0.0
375.0,0.9265454545454549,0.833,0.833,0.833,0.8808823529411766,0.0,0.0,0.4717584020670183,0.0,0.0
380.0,0.926909090909091,0.879,0.879,0.879,0.8811764705882354,0.0,0.0,0.5547108476963591,0.0,0.0
385.0,0.9272727272727272,0.915,0.915,0.915,0.8814705882352943,0.0,0.0,0.6261503024659093,0.0,0.0
390.0,0.9272727272727272,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.8817647058823532,0.0,0.0,0.6704829589876364,0.0,0.0
395.0,0.9272727272727272,0.953,0.953,0.953,0.882058823529412,0.0,0.31,0.7079192748608183,0.0,0.0
400.0,0.9272727272727272,0.958,0.958,0.958,0.8823529411764709,0.0,0.62,0.719360109818182,0.0,0.0
405.0,0.9272727272727272,0.97,0.97,0.97,0.8823529411764709,0.0,0.64,0.7467324545454547,0.0,0.0
410.0,0.9272727272727272,0.973,0.973,0.973,0.8823529411764709,0.0,0.66,0.7536823502727276,0.0,0.0
415.0,0.9272727272727272,0.978,0.978,0.978,0.882353142293318,0.0,0.6799999999999999,0.7653612806324327,0.0,0.0
420.0,0.9274181818181818,0.982,0.982,0.982,0.8823534792145555,0.0,0.7,0.7749125093789327,0.0,0.0
425.0,0.9279999999999999,0.986,0.986,0.986,0.8823539202490853,0.0,0.73,0.7849130335108037,0.0,0.0
430.0,0.9279999999999999,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.8823544947557795,0.0,0.76,0.7801468761897108,0.0,0.0
435.0,0.9279999999999999,0.987,0.987,0.987,0.8823552394894666,0.0,0.7899999999999999,0.7873048070694011,0.0,0.0
440.0,0.9276363636363637,0.9890000000000001,0.9890000000000001,0.9890000000000001,0.8823562002056059,0.0,0.82,0.7917910371269588,0.0,0.0
445.0,0.9270363636363637,0.992,0.992,0.992,0.882357436926902,0.0,0.8325,0.7985026043041372,0.0,0.0
450.0,0.926727272727273,0.991,0.991,0.991,0.8823590186884159,0.0,0.845,0.7958262069384064,0.0,0.0
455.0,0.926418181818182,0.988,0.988,0.988,0.8823610307370162,0.0,0.8574999999999999,0.788359350459887,0.0,0.0
460.0,0.9258181818181821,0.992,0.992,0.992,0.8823635776581078,0.0,0.87,0.7974588734596034,0.0,0.0
465.0,0.9254545454545456,0.991,0.991,0.991,0.8823667859724801,0.0,0.8775,0.7947402494711404,0.0,0.0
470.0,0.9251272727272728,0.9940000000000001,0.9940000000000001,0.9940000000000001,0.8823708078354533,0.0,0.885,0.8016997882555541,0.0,0.0
475.0,0.9247272727272728,0.995,0.995,0.995,0.8823758251435635,0.0,0.8925000000000001,0.8037787302305512,0.0,0.0
480.0,0.924509090909091,0.995,0.995,0.995,0.882382054043622,0.0,0.9,0.8035947579551074,0.0,0.0
485.0,0.9243636363636364,0.992,0.992,0.992,0.8823897628237984,0.0,0.8975,0.7962296206149594,0.0,0.0
