wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_filter_sloan_r,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
350.0,0.9250909090909092,0.8029999999999999,0.8029999999999999,0.8029999999999999,0.0,0.13393188169655432,0.478995076032,0.0,0.0
355.0,0.9254545454545456,0.797,0.797,0.797,0.0,0.17098414264025716,0.4685220739218183,0.0,0.0
360.0,0.9258909090909093,0.792,0.792,0.792,0.0,0.21715936918184175,0.45997620387840016,0.0,0.0
365.0,0.9261818181818182,0.7929999999999999,0.7929999999999999,0.7929999999999999,0.0,0.2714529990324181,0.4618658085741817,0.0,0.0
370.0,0.9265090909090912,0.802,0.802,0.802,0.0,0.33072340979586784,0.47793935135389115,0.0,0.0
375.0,0.9265454545454549,0.833,0.833,0.833,0.0,0.39392136021935,0.5355521091912728,0.0,0.0
380.0,0.926909090909091,0.879,0.879,0.879,0.0,0.4597019632868291,0.629511642913091,0.0,0.0
385.0,0.9272727272727272,0.915,0.915,0.915,0.0,0.5203429408511275,0.7103473568181818,0.0,0.0
390.0,0.9272727272727272,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.0,0.5738610798165849,0.7603876119272726,0.0,0.0
395.0,0.9272727272727272,0.953,0.953,0.953,0.0,0.6203373583918507,0.8025760368545454,0.0,0.0
400.0,0.9272727272727272,0.958,0.958,0.958,0.0,0.65904679570464,0.8152747911272726,0.0,0.0
405.0,0.9272727272727272,0.97,0.97,0.97,0.0,0.6917756814481301,0.8462967818181817,0.0,0.0
410.0,0.9272727272727272,0.973,0.973,0.973,0.0,0.7214743525837485,0.8541733303090909,0.0,0.0
415.0,0.9272727272727272,0.978,0.978,0.978,0.0,0.7532934402367396,0.8674092536727273,0.0,0.0
420.0,0.9274181818181818,0.982,0.982,0.982,0.0,0.7862387698807916,0.8782336417698908,0.0,0.0
425.0,0.9279999999999999,0.986,0.986,0.986,0.0,0.8163692668715463,0.8895671175679999,0.0,0.0
430.0,0.9279999999999999,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.8388970029091002,0.8841649029120002,0.0,0.0
435.0,0.9279999999999999,0.987,0.987,0.987,0.0,0.8572085237507333,0.892276457184,0.0,0.0
