wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_filter_sloan_r,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
350.0,0.9250909090909092,0.8029999999999999,0.8029999999999999,0.8029999999999999,0.0,0.0,0.478995076032,0.0,0.0
355.0,0.9254545454545456,0.797,0.797,0.797,0.0,0.0,0.4685220739218183,0.0,0.0
360.0,0.9258909090909093,0.792,0.792,0.792,0.0,0.0,0.45997620387840016,0.0,0.0
365.0,0.9261818181818182,0.7929999999999999,0.7929999999999999,0.7929999999999999,0.0,0.0,0.4618658085741817,0.0,0.0
370.0,0.9265090909090912,0.802,0.802,0.802,0.0,0.0,0.47793935135389115,0.0,0.0
375.0,0.9265454545454549,0.833,0.833,0.833,0.0,0.0,0.5355521091912728,0.0,0.0
380.0,0.926909090909091,0.879,0.879,0.879,0.0,0.0,0.629511642913091,0.0,0.0
385.0,0.9272727272727272,0.915,0.915,0.915,0.0,0.0,0.7103473568181818,0.0,0.0
390.0,0.9272727272727272,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.0,0.0,0.7603876119272726,0.0,0.0
395.0,0.9272727272727272,0.953,0.953,0.953,0.0,0.0,0.8025760368545454,0.0,0.0
400.0,0.9272727272727272,0.958,0.958,0.958,0.0,0.0,0.8152747911272726,0.0,0.0
405.0,0.9272727272727272,0.97,0.97,0.97,0.0,0.723414651595586,0.8462967818181817,0.0,0.0
410.0,0.9272727272727272,0.973,0.973,0.973,0.0,0.750694549163321,0.8541733303090909,0.0,0.0
415.0,0.9272727272727272,0.978,0.978,0.978,0.0,0.7803762165081504,0.8674092536727273,0.0,0.0
420.0,0.9274181818181818,0.982,0.982,0.982,0.0,0.8016931300573722,0.8782336417698908,0.0,0.0
425.0,0.9279999999999999,0.986,0.986,0.986,0.0,0.8240403292911472,0.8895671175679999,0.0,0.0
430.0,0.9279999999999999,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.844876851679513,0.8841649029120002,0.0,0.0
435.0,0.9279999999999999,0.987,0.987,0.987,0.0,0.8684793189260003,0.892276457184,0.0,0.0
440.0,0.9276363636363637,0.9890000000000001,0.9890000000000001,0.9890000000000001,0.0,0.8819645892626462,0.897359860952364,0.0,0.0
445.0,0.9270363636363637,0.992,0.992,0.992,0.0,0.8962668722189372,0.9049650072482909,0.0,0.0
450.0,0.926727272727273,0.991,0.991,0.991,0.0,0.9063069774055432,0.9019301555067275,0.0,0.0
455.0,0.926418181818182,0.988,0.988,0.988,0.0,0.9130595726318445,0.8934657390766547,0.0,0.0
460.0,0.9258181818181821,0.992,0.992,0.992,0.0,0.9151398405038748,0.9037758285265457,0.0,0.0
465.0,0.9254545454545456,0.991,0.991,0.991,0.0,0.9141023096757028,0.9006914835254547,0.0,0.0
470.0,0.9251272727272728,0.9940000000000001,0.9940000000000001,0.9940000000000001,0.0,0.9107149504793437,0.9085746957361458,0.0,0.0
475.0,0.9247272727272728,0.995,0.995,0.995,0.0,0.9061931230758552,0.9109256025909092,0.0,0.0
480.0,0.924509090909091,0.995,0.995,0.995,0.0,0.9020998900598579,0.9107106771636364,0.0,0.0
485.0,0.9243636363636364,0.992,0.992,0.992,0.0,0.8991431428817734,0.9023559136349091,0.0,0.0
490.0,0.9242545454545454,0.9940000000000001,0.9940000000000001,0.9940000000000001,0.0,0.8973243096590312,0.9077175834882911,0.0,0.0
495.0,0.9228000000000001,0.992,0.992,0.992,0.0,0.8964601381461255,0.9008295051264,0.0,0.0
500.0,0.921818181818182,0.996,0.996,0.996,0.0,0.8956870510620029,0.9108005519127275,0.0,0.0
505.0,0.9222363636363637,0.993,0.993,0.993,0.0,0.8948768148610706,0.9030046524183818,0.0,0.0
510.0,0.9215636363636365,0.99,0.99,0.99,0.0,0.8935471743815177,0.8941922748000001,0.0,0.0
515.0,0.9212545454545455,0.9940000000000001,0.9940000000000001,0.9940000000000001,0.0,0.89077378710486,0.9047712601362913,0.0,0.0
520.0,0.9209454545454546,0.995,0.995,0.995,0.0,0.88673602313215,0.9072002285181818,0.0,0.0
525.0,0.9208181818181819,0.9940000000000001,0.9940000000000001,0.9940000000000001,0.0,0.8808201937546987,0.904342704012364,0.0,0.0
530.0,0.9206181818181819,0.995,0.995,0.995,0.0,0.8733180264606962,0.9068778403772728,0.0,0.0
535.0,0.919290909090909,0.992,0.992,0.992,0.000214,0.8657483829580467,0.8974039604503273,0.00018527015395302198,0.0001662621699106838
540.0,0.9186181818181818,0.991,0.991,0.991,0.007248,0.857075219258672,0.8940380454546181,0.006212081189186855,0.005553836924586015
545.0,0.9179272727272729,0.991,0.991,0.991,0.07358,0.8482366418672359,0.8933656235219274,0.06241325210859122,0.05575785388602285
550.0,0.9176363636363638,0.991,0.991,0.991,0.2521,0.8389959731365665,0.8930824984976365,0.2115108848277284,0.18889666948139353
555.0,0.9161272727272727,0.993,0.993,0.993,0.5024,0.8281851339581966,0.8970229564774364,0.4160802113005979,0.3732335012726188
560.0,0.916290909090909,0.992,0.992,0.992,0.6667,0.8181201902218802,0.8944753859863273,0.5454407308209275,0.4878833082337135
565.0,0.9156181818181818,0.993,0.993,0.993,0.7771,0.8077050299622148,0.8965244818156909,0.6276675787836371,0.5627193508215096
570.0,0.9149454545454546,0.9940000000000001,0.9940000000000001,0.9940000000000001,0.855,0.796794288867363,0.8985750528445094,0.6812591169815954,0.6121624470425409
575.0,0.9145454545454548,0.993,0.993,0.993,0.8697,0.785340016653276,0.8954741244927276,0.6830102124833541,0.6116179720431234
580.0,0.9139636363636365,0.992,0.992,0.992,0.9179,0.7740618619588804,0.8922035221597093,0.7105113830920563,0.6339207585292992
