wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_EOL,surface_filter_Kepler,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
350.0,0.9250909090909092,0.8029999999999999,0.8029999999999999,0.8029999999999999,0.0,0.011342385667839931,0.13393188169655432,0.0,0.0015191070554218308,0.0
355.0,0.9254545454545456,0.797,0.797,0.797,0.0,0.009233482641691187,0.17098414264025716,0.0,0.0015787791130732645,0.0
360.0,0.9258909090909093,0.792,0.792,0.792,0.88,0.007124579615542443,0.21715936918184175,0.40477905941299214,0.0015471692149970056,0.0006262616995992254
365.0,0.9261818181818182,0.7929999999999999,0.7929999999999999,0.7929999999999999,0.8802941176470589,0.006051341205794912,0.2714529990324181,0.4065777544301547,0.0016426547184814782,0.0006678668667442974
370.0,0.9265090909090912,0.802,0.802,0.802,0.8805882352941178,0.0060884120855857135,0.33072340979586784,0.42086776998633835,0.0020135804051872783,0.0008474510948193574
375.0,0.9265454545454549,0.833,0.833,0.833,0.8808823529411766,0.0060624650021981205,0.39392136021935,0.4717584020670183,0.0023881344599480884,0.001126622496746292
380.0,0.926909090909091,0.879,0.879,0.879,0.8811764705882354,0.005503172206343497,0.4597019632868291,0.5547108476963591,0.0025298190675616164,0.001403318079485517
385.0,0.9272727272727272,0.915,0.915,0.915,0.8814705882352943,0.005833133101809686,0.5203429408511275,0.6261503024659093,0.003035229632571711,0.0019005099524882676
390.0,0.9272727272727272,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.8817647058823532,0.006307260801785925,0.5738610798165849,0.6704829589876364,0.0036194914943976897,0.0024268073671943453
395.0,0.9272727272727272,0.953,0.953,0.953,0.882058823529412,0.006781388501762165,0.6203373583918507,0.7079192748608183,0.004206748629412011,0.002978038439255092
400.0,0.9272727272727272,0.958,0.958,0.958,0.8823529411764709,0.007255516201738405,0.65904679570464,0.719360109818182,0.0047817247039387955,0.0034397820081457256
405.0,0.9272727272727272,0.97,0.97,0.97,0.8823529411764709,0.007729643901714644,0.6917756814481301,0.7467324545454547,0.005347179677460031,0.003992912605445302
410.0,0.9272727272727272,0.973,0.973,0.973,0.8823529411764709,0.008203771601690885,0.7214743525837485,0.7536823502727276,0.005918810805074872,0.004460903238388445
415.0,0.9272727272727272,0.978,0.978,0.978,0.882353142293318,0.008677899301667125,0.7532934402367396,0.7653612806324327,0.006537004618980828,0.005003170226683295
420.0,0.9274181818181818,0.982,0.982,0.982,0.8823534792145555,0.05134669435831659,0.7862387698807916,0.7749125093789327,0.04037076180972782,0.03128380833951537
425.0,0.9279999999999999,0.986,0.986,0.986,0.8823539202490853,0.17516650806529224,0.8163692668715463,0.7849130335108037,0.14300055376971144,0.11224299845310899
