wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_EOL,surface_filter_Kepler,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
250.0,0.9212727272727274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255.0,0.9212181818181819,0.0,0.0,0.0,0.0,0.0,0.028380388151174656,0.0,0.0,0.0
260.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.033698529411764704,0.0,0.0,0.0
265.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.04046455566905003,0.0,0.0,0.0
270.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.056063492063491996,0.0,0.0,0.0
275.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.12973291925465846,0.0,0.0,0.0
280.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.21921599340478154,0.0,0.0,0.0
285.0,0.9219818181818183,0.0,0.0,0.0,0.0,0.0,0.2723157894736842,0.0,0.0,0.0
290.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.33087358326068017,0.0,0.0,0.0
295.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.4228750000000002,0.0,0.0,0.0
300.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.4971240428790199,0.0,0.0,0.0
305.0,0.9228545454545456,0.0,0.0,0.0,0.0,0.0,0.5327543125980135,0.0,0.0,0.0
310.0,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5540305617977529,0.0,0.0,0.0
315.0,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5729006298110566,0.0,0.0,0.0
320.0,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5886647564469915,0.0,0.0,0.0
325.0,0.9236363636363636,0.0,0.0,0.0,0.0,0.0,0.6023753213367609,0.0,0.0,0.0
330.0,0.9236727272727272,0.0,0.0,0.0,0.0,0.0,0.6150842696629213,0.0,0.0,0.0
335.0,0.924,0.0,0.0,0.0,0.0,0.0,0.6286356141797198,0.0,0.0,0.0
340.0,0.9246545454545455,0.0,0.0,0.0,0.0,0.01062191753985997,0.6402391184573003,0.0,0.006800567122046084,0.0
345.0,0.9249636363636364,0.0,0.0,0.0,0.0,0.011216471709596108,0.6508479359730412,0.0,0.0073002174610906365,0.0
350.0,0.9250909090909092,0.8029999999999999,0.8029999999999999,0.8029999999999999,0.0,0.011342385667839931,0.6592776302349336,0.0,0.007477781144304184,0.0
355.0,0.9254545454545456,0.797,0.797,0.797,0.0,0.009233482641691187,0.6655857843137255,0.0,0.0061456747860171995,0.0
360.0,0.9258909090909093,0.792,0.792,0.792,0.88,0.007124579615542443,0.6707620020429009,0.40477905941299214,0.004778897286635291,0.0019343975487155333
365.0,0.9261818181818182,0.7929999999999999,0.7929999999999999,0.7929999999999999,0.8802941176470589,0.006051341205794912,0.6748946078431373,0.4065777544301547,0.004084017550009975,0.0016604706845363977
370.0,0.9265090909090912,0.802,0.802,0.802,0.8805882352941178,0.0060884120855857135,0.6826001308900523,0.42086776998633835,0.004155950886533384,0.0017491057817880513
375.0,0.9265454545454549,0.833,0.833,0.833,0.8808823529411766,0.0060624650021981205,0.7051302605210421,0.4717584020670183,0.004274827526399661,0.0020166858029664085
380.0,0.926909090909091,0.879,0.879,0.879,0.8811764705882354,0.005503172206343497,0.7299176954732511,0.5547108476963591,0.004016862774646692,0.002228197354804216
385.0,0.9272727272727272,0.915,0.915,0.915,0.8814705882352943,0.005833133101809686,0.7379007352941177,0.6261503024659093,0.004304273204893825,0.0026951219691401774
390.0,0.9272727272727272,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.8817647058823532,0.006307260801785925,0.7455220440881763,0.6704829589876364,0.004702201965544673,0.0031527462876158726
395.0,0.9272727272727272,0.953,0.953,0.953,0.882058823529412,0.006781388501762165,0.7673012379642367,0.7079192748608183,0.0052033677925185495,0.003683564354513868
400.0,0.9272727272727272,0.958,0.958,0.958,0.8823529411764709,0.007255516201738405,0.791182572614108,0.719360109818182,0.005740437974134732,0.004129442091478023
405.0,0.9272727272727272,0.97,0.97,0.97,0.8823529411764709,0.007729643901714644,0.8051149001536099,0.7467324545454547,0.006223251478151945,0.004647103851534031
410.0,0.9272727272727272,0.973,0.973,0.973,0.8823529411764709,0.008203771601690885,0.8165727980826842,0.7536823502727276,0.00669897673162399,0.005048900527512684
415.0,0.9272727272727272,0.978,0.978,0.978,0.882353142293318,0.008677899301667125,0.8222886618998978,0.7653612806324327,0.007135738204869918,0.0054614177307370166
420.0,0.9274181818181818,0.982,0.982,0.982,0.8823534792145555,0.05134669435831659,0.8253529411764705,0.7749125093789327,0.042379145208325884,0.03284012975871799
425.0,0.9279999999999999,0.986,0.986,0.986,0.8823539202490853,0.17516650806529224,0.8282778345250255,0.7849130335108037,0.14508653598163065,0.11388031307891608
430.0,0.9279999999999999,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.8823544947557795,0.48903721782132065,0.830641339869281,0.7801468761897108,0.4062145298570472,0.31690699653084736
435.0,0.9279999999999999,0.987,0.987,0.987,0.8823552394894666,0.8090640570099844,0.834726455566905,0.7873048070694011,0.6753471726345246,0.5317040754558899
