wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_EOL,surface_filter_H_alpha,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
275.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.12973291925465846,0.0,0.0,0.0
275.5,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.14859016393442626,0.0,0.0,0.0
276.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.15473770491803282,0.0,0.0,0.0
276.5,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.1612083916083917,0.0,0.0,0.0
277.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.16960000000000036,0.0,0.0,0.0
277.5,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.18086956521739192,0.0,0.0,0.0
278.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.1888195876288661,0.0,0.0,0.0
278.5,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.19526288659793803,0.0,0.0,0.0
279.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.20366666666666625,0.0,0.0,0.0
279.5,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.21385737840065938,0.0,0.0,0.0
280.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.21921599340478154,0.0,0.0,0.0
280.5,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.2245746084089037,0.0,0.0,0.0
281.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.23118894601542428,0.0,0.0,0.0
281.5,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.23824128312412832,0.0,0.0,0.0
282.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.24521478382147854,0.0,0.0,0.0
282.5,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.2502727272727273,0.0,0.0,0.0
283.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.25467155425219934,0.0,0.0,0.0
283.5,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.2606103038309113,0.0,0.0,0.0
284.0,0.9218472727272728,0.0,0.0,0.0,0.0,0.0,0.2665320994794678,0.0,0.0,0.0
284.5,0.9219145454545457,0.0,0.0,0.0,0.0,0.0,0.269423944476576,0.0,0.0,0.0
285.0,0.9219818181818183,0.0,0.0,0.0,0.0,0.0,0.2723157894736842,0.0,0.0,0.0
285.5,0.922049090909091,0.0,0.0,0.0,0.0,0.0,0.2752076344707924,0.0,0.0,0.0
286.0,0.9221163636363637,0.0,0.0,0.0,0.0,0.0,0.2815612813370472,0.0,0.0,0.0
286.5,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.2884646464646463,0.0,0.0,0.0
287.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.29351515151515156,0.0,0.0,0.0
287.5,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.29885393258426973,0.0,0.0,0.0
288.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.3044719101123593,0.0,0.0,0.0
288.5,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.3097009433962261,0.0,0.0,0.0
289.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.31488962264150916,0.0,0.0,0.0
289.5,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.32448812095032403,0.0,0.0,0.0
290.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.33087358326068017,0.0,0.0,0.0
290.5,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.3365405405405407,0.0,0.0,0.0
291.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.34426511627906997,0.0,0.0,0.0
291.5,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.3535674418604652,0.0,0.0,0.0
292.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.36110683349374406,0.0,0.0,0.0
292.5,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.36832531280077013,0.0,0.0,0.0
293.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.3832007434944235,0.0,0.0,0.0
293.5,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.38877695167286236,0.0,0.0,0.0
294.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.3943531598513012,0.0,0.0,0.0
294.5,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.40970112359550553,0.0,0.0,0.0
295.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.4228750000000002,0.0,0.0,0.0
295.5,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.4294478417266187,0.0,0.0,0.0
296.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.43529316546762575,0.0,0.0,0.0
296.5,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.4454790419161672,0.0,0.0,0.0
297.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.45557617728531835,0.0,0.0,0.0
297.5,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.46250138504155125,0.0,0.0,0.0
298.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.4696944770857816,0.0,0.0,0.0
298.5,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.47792009400705066,0.0,0.0,0.0
299.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.4848854961832062,0.0,0.0,0.0
299.5,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.49061068702290084,0.0,0.0,0.0
300.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.4971240428790199,0.0,0.0,0.0
300.5,0.922249090909091,0.0,0.0,0.0,0.0,0.0,0.5043860711582134,0.0,0.0,0.0
301.0,0.9223163636363638,0.0,0.0,0.0,0.0,0.0,0.5081710825132475,0.0,0.0,0.0
301.5,0.9223836363636365,0.0,0.0,0.0,0.0,0.0,0.5119560938682817,0.0,0.0,0.0
302.0,0.9224509090909092,0.0,0.0,0.0,0.0,0.0,0.515517595307918,0.0,0.0,0.0
302.5,0.9225181818181819,0.0,0.0,0.0,0.0,0.0,0.5188167155425221,0.0,0.0,0.0
303.0,0.9225854545454547,0.0,0.0,0.0,0.0,0.0,0.5221158357771261,0.0,0.0,0.0
303.5,0.9226527272727274,0.0,0.0,0.0,0.0,0.0,0.5249132253005749,0.0,0.0,0.0
304.0,0.9227200000000001,0.0,0.0,0.0,0.0,0.0,0.5275269210663878,0.0,0.0,0.0
304.5,0.9227872727272728,0.0,0.0,0.0,0.0,0.0,0.5301406168322006,0.0,0.0,0.0
305.0,0.9228545454545456,0.0,0.0,0.0,0.0,0.0,0.5327543125980135,0.0,0.0,0.0
305.5,0.9228963636363637,0.0,0.0,0.0,0.0,0.0,0.5350350404312668,0.0,0.0,0.0
306.0,0.922829090909091,0.0,0.0,0.0,0.0,0.0,0.5372812219227313,0.0,0.0,0.0
306.5,0.9227618181818183,0.0,0.0,0.0,0.0,0.0,0.5395274034141958,0.0,0.0,0.0
307.0,0.9226945454545455,0.0,0.0,0.0,0.0,0.0,0.5417735849056603,0.0,0.0,0.0
307.5,0.9226272727272729,0.0,0.0,0.0,0.0,0.0,0.543918202247191,0.0,0.0,0.0
308.0,0.9225600000000002,0.0,0.0,0.0,0.0,0.0,0.5459406741573034,0.0,0.0,0.0
308.5,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5479631460674157,0.0,0.0,0.0
309.0,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5499856179775281,0.0,0.0,0.0
309.5,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5520080898876405,0.0,0.0,0.0
310.0,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5540305617977529,0.0,0.0,0.0
310.5,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5560530337078652,0.0,0.0,0.0
311.0,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5580755056179776,0.0,0.0,0.0
311.5,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5600979775280899,0.0,0.0,0.0
312.0,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5620183823529412,0.0,0.0,0.0
312.5,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5638566176470589,0.0,0.0,0.0
313.0,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5656948529411765,0.0,0.0,0.0
313.5,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5675330882352941,0.0,0.0,0.0
314.0,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5693713235294118,0.0,0.0,0.0
314.5,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5711511546536039,0.0,0.0,0.0
315.0,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5729006298110566,0.0,0.0,0.0
315.5,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5746501049685094,0.0,0.0,0.0
316.0,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5763995801259622,0.0,0.0,0.0
316.5,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.578149055283415,0.0,0.0,0.0
317.0,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5798985304408677,0.0,0.0,0.0
317.5,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5813756845564074,0.0,0.0,0.0
318.0,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5828360715589631,0.0,0.0,0.0
318.5,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5842964585615188,0.0,0.0,0.0
319.0,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5857568455640745,0.0,0.0,0.0
319.5,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5872172325666302,0.0,0.0,0.0
320.0,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5886647564469915,0.0,0.0,0.0
320.5,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5900974212034384,0.0,0.0,0.0
321.0,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5915300859598854,0.0,0.0,0.0
321.5,0.9225454545454547,0.0,0.0,0.0,0.0,0.0,0.5929627507163324,0.0,0.0,0.0
