wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_filter_sloan_u,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
300.0,0.9221818181818183,0.0818639798488664,0.0818639798488664,0.0818639798488664,0.0,0.0,0.0005059354585130762,0.0,0.0
305.0,0.9228545454545456,0.08278752576139213,0.08278752576139213,0.08278752576139213,0.012,0.046533026925250826,0.0005236341535271669,0.0005583963231030099,2.9239538598072697e-07
310.0,0.9225454545454547,0.08371107167391788,0.08371107167391788,0.08371107167391788,0.0892,0.048779259907122556,0.0005411734461825123,0.004351109983715332,2.354705184606361e-06
315.0,0.9225454545454547,0.09521095717884193,0.09521095717884193,0.09521095717884193,0.2334,0.04925846605131867,0.0007962483898583851,0.011496925976377777,9.154408797011847e-06
320.0,0.9225454545454547,0.13210831860529068,0.13210831860529068,0.13210831860529068,0.387,0.046970367269709684,0.002127052791701987,0.01817753213337765,3.86645704705535e-05
325.0,0.9236363636363636,0.14040188944080528,0.14040188944080528,0.14040188944080528,0.5195,0.0465288998169774,0.002556347440352901,0.024171763454919757,6.179142563679991e-05
330.0,0.9236727272727272,0.2748223453283548,0.2748223453283548,0.2748223453283548,0.6021,0.05028031090779239,0.019172301293294475,0.030273775197581797,0.0005804179393735036
335.0,0.924,0.5034477696792105,0.5034477696792105,0.5034477696792105,0.687,0.06152967853679911,0.1179058177993879,0.04227088915478099,0.00498398375490173
340.0,0.9246545454545455,0.6952708906157972,0.6952708906157972,0.6952708906157972,0.7181,0.07990895153249743,0.31077183310763756,0.0573826180954864,0.017832901414049803
345.0,0.9249636363636364,0.7734392743128818,0.7734392743128818,0.7734392743128818,0.7483,0.10380215703015493,0.4279601421898588,0.07767515410566493,0.03324186999567956
350.0,0.9250909090909092,0.8071664015686738,0.8071664015686738,0.8071664015686738,0.7363,0.13393188169655432,0.48648969041700796,0.09861404449317293,0.047974715976252746
355.0,0.9254545454545456,0.83269956232643,0.83269956232643,0.83269956232643,0.7479,0.17098414264025716,0.5343429724302388,0.12787904028064834,0.06833126649508786
360.0,0.9258909090909093,0.8366486825327576,0.8366486825327576,0.8366486825327576,0.7684,0.21715936918184175,0.5422370821502679,0.1668652592793272,0.09048053130387029
365.0,0.9261818181818182,0.8398709138628325,0.8398709138628325,0.8398709138628325,0.638,0.2714529990324181,0.5486986285019732,0.17318701338268275,0.09502747671743089
370.0,0.9265090909090912,0.8426979723142773,0.8426979723142773,0.8426979723142773,0.647,0.33072340979586784,0.5544540138022184,0.2139780461379265,0.11864098654672962
375.0,0.9265454545454549,0.8436844872662932,0.8436844872662932,0.8436844872662932,0.5345,0.39392136021935,0.5564253676166921,0.21055096703724255,0.11715589923574772
380.0,0.926909090909091,0.8518695193900802,0.8518695193900802,0.8518695193900802,0.4232,0.4597019632868291,0.5730023181179338,0.19454587086298608,0.11147523498476322
385.0,0.9272727272727272,0.8966434766786245,0.8966434766786245,0.8966434766786245,0.2766,0.5203429408511275,0.6684468272482889,0.14392685743942188,0.09620745121119834
390.0,0.9272727272727272,0.9199922400665812,0.9199922400665812,0.9199922400665812,0.1172,0.5738610798165849,0.7220378746055686,0.06725651855450375,0.048561753710463874
395.0,0.9272727272727272,0.9376012924722311,0.9376012924722311,0.9376012924722311,0.0296,0.6203373583918507,0.7642968657758084,0.01836198580839878,0.01403400820277906
400.0,0.9272727272727272,0.9483612446359113,0.9483612446359113,0.9483612446359113,0.004,0.65904679570464,0.7909133032399882,0.00263618718281856,0.002084995512721946
405.0,0.9272727272727272,0.9553756140045986,0.9553756140045986,0.9553756140045986,0.0003,0.6917756814481301,0.8085929337260971,0.000207532704434439,0.00016780947832275404
410.0,0.9272727272727272,0.9611647807231392,0.9611647807231392,0.9611647807231392,0.0,0.7214743525837485,0.8233813641395626,0.0,0.0
415.0,0.9272727272727272,0.9644150342669122,0.9644150342669122,0.9644150342669122,0.0,0.7532934402367396,0.8317626268239783,0.0,0.0
420.0,0.9274181818181818,0.9676652878106853,0.9676652878106853,0.9676652878106853,0.0,0.7862387698807916,0.8403323692460782,0.0,0.0
