# RTX BOL/EOL ratio smoothed with Gaussian kernel, sigma=45px
# See plot
Wavelength nm,ratio
400.0,0.8823529411764709
401.6016016016016,0.8823529411764709
403.2032032032032,0.8823529411764709
404.8048048048048,0.8823529411764709
406.4064064064064,0.8823529411764709
408.008008008008,0.8823529411764709
409.6096096096096,0.8823529411764709
411.2112112112112,0.8823529411764709
412.8128128128128,0.8823530207001259
414.4144144144144,0.8823531075947788
416.016016016016,0.8823532024967662
417.6176176176176,0.8823533060927921
419.2192192192192,0.8823534191234919
420.8208208208208,0.8823535423872123
422.4224224224224,0.8823536767440151
424.024024024024,0.8823538231199166
425.6256256256256,0.8823539825113729
427.2272272272272,0.8823541559900206
428.8288288288288,0.8823543447076843
430.4304304304304,0.8823545499016607
432.032032032032,0.8823547729002923
433.6336336336336,0.8823550151288381
435.2352352352352,0.8823552781156554
436.8368368368368,0.8823555634987021
438.4384384384384,0.8823558730323706
440.04004004004,0.8823562085946632
441.6416416416416,0.882356572194722
443.2432432432432,0.8823569659807203
444.84484484484483,0.8823573922481291
446.44644644644643,0.8823578534483659
448.04804804804803,0.8823583521978364
449.64964964964963,0.8823588912873791
451.25125125125123,0.8823594736921188
452.85285285285283,0.88236010258174
454.45445445445444,0.8823607813311859
456.05605605605604,0.8823615135317886
457.65765765765764,0.8823623030028399
459.25925925925924,0.8823631538036034
460.86086086086084,0.882364070245775
462.46246246246244,0.8823650569063937
464.06406406406404,0.8823661186412033
465.66566566566564,0.8823672605984684
467.26726726726724,0.8823684882332401
468.86886886886884,0.8823698073220732
470.47047047047045,0.8823712239781867
472.07207207207205,0.8823727446670663
473.67367367367365,0.8823743762224987
475.27527527527525,0.8823761258630298
476.87687687687685,0.8823780012088354
478.47847847847845,0.8823800102989916
480.08008008008005,0.8823821616091289
481.68168168168165,0.8823844640694528
483.28328328328325,0.8823869270831115
484.88488488488485,0.8823895605448865
486.4864864864865,0.8823923748601827
488.0880880880881,0.8823953809642902
489.6896896896897,0.8823985903418852
491.2912912912913,0.8824020150467403
492.8928928928929,0.8824056677216047
494.4944944944945,0.8824095616182168
496.0960960960961,0.8824137106174069
497.6976976976977,0.8824181292492443
499.2992992992993,0.8824228327131804
500.9009009009009,0.8824278368981365
502.5025025025025,0.8824331584024818
504.1041041041041,0.8824388145538428
505.7057057057057,0.8824448234286837
507.3073073073073,0.8824512038715934
508.9089089089089,0.8824579755142112
510.5105105105105,0.8824651587937212
512.1121121121121,0.8824727749708416
513.7137137137137,0.8824808461472319
515.3153153153153,0.8824893952822395
516.9169169169169,0.8824984462089024
518.5185185185185,0.8825080236491241
520.1201201201202,0.8825181532279324
521.7217217217217,0.8825288614867335
523.3233233233234,0.882540175895468
524.9249249249249,0.8825521248635769
526.5265265265266,0.8825647377496809
528.1281281281281,0.8825780448698752
529.7297297297298,0.8825920775045436
531.3313313313313,0.8826068679035913
532.932932932933,0.8826224492899966
534.5345345345345,0.8826388558615816
536.1361361361362,0.8826561227909021
537.7377377377377,0.8826742862231552
539.3393393393394,0.8826933832720087
540.9409409409409,0.8827134520132508
542.5425425425426,0.8827345314761657
544.1441441441441,0.8827566616325406
545.7457457457458,0.8827798833832115
547.3473473473473,0.882804238542058
548.948948948949,0.882829769817363
550.5505505505505,0.8828565207904527
552.1521521521522,0.882884535891541
553.7537537537537,0.8829138603727036
555.3553553553554,0.8829445402779149
556.9569569569569,0.8829766224100845
558.5585585585586,0.8830101542950368
560.1601601601601,0.8830451841423864
561.7617617617618,0.8830817608032632
563.3633633633633,0.8831199337248558
564.964964964965,0.8831597529017453
566.5665665665665,0.883201268824011
568.1681681681682,0.8832445324220982
569.7697697697697,0.8832895950084516
571.3713713713714,0.8833365082159194
572.972972972973,0.883385323932952
574.5745745745746,0.8834360942356257
576.1761761761762,0.8834888713165306
577.7777777777778,0.8835437074105783
579.3793793793794,0.8836006547177913
580.980980980981,0.8836597653231517
582.5825825825826,0.8837210911135963
584.1841841841842,0.8837846836922556
585.7857857857858,0.883850594290053
587.3873873873874,0.8839188736747831
588.988988988989,0.8839895720578087
590.5905905905906,0.8840627389985234
592.1921921921922,0.8841384233067392
593.7937937937938,0.8842166729431732
595.3953953953954,0.8842975349182157
596.996996996997,0.8843810551891759
598.5985985985986,0.8844672785562117
600.2002002002002,0.884556248557161
601.8018018018018,0.8846480073615026
603.4034034034034,0.8847425956636844
605.005005005005,0.8848400525760662
606.6066066066066,0.8849404155217346
608.2082082082082,0.8850437201274524
609.8098098098098,0.885150000117017
611.4114114114114,0.8852592872053062
613.013013013013,0.885371610993295
614.6146146146147,0.8854869988643369
616.2162162162163,0.8856054758820022
617.8178178178179,0.8857270646897732
619.4194194194195,0.8858517854128963
621.021021021021,0.8859796555626944
622.6226226226227,0.8861106899436427
624.2242242242243,0.8862449005635104
625.8258258258259,0.8863822965468687
627.4274274274275,0.8865228840522665
629.0290290290291,0.8866666661933638
630.6306306306307,0.8868136429643174
632.2322322322323,0.8869638111697002
633.8338338338339,0.8871171643592312
635.4354354354355,0.8872736927675845
637.0370370370371,0.8874333832595389
