Wavelength,imx_u,imx_g,imx_r,imx_i,imx_z,hwk_u,hwk_g,hwk_r,hwk_i,hwk_z,imx_bb,hwk_bb
670,0,0,0.338612069,0,0,0,0,0.406647275,0,0,0.330186429,0.396528725
675,0,0,0.324974736,0,0,0,0,0.396166256,0,0,0.319428314,0.389404791
680,0,0,0.319022265,0.00014354,0,0,0,0.393957622,0.000177256,0,0.311436056,0.384589483
685,0,0,0.307833624,0.00052559,0,0,0,0.384388764,0.0006563,0,0.300785587,0.375587952
690,0,0,0.20129168,0.002954019,0,0,0,0.257132519,0.003773501,0,0.291881082,0.372852559
695,0,0,0.026070221,0.018271678,0,0,0,0.033570485,0.023528343,0,0.28555602,0.367708973
700,0,0,0.002482765,0.10998978,0,0,0,0.003261461,0.144487049,0,0.275518456,0.361932252
705,0,0,0.000339195,0.265373301,0,0,0,0.000451383,0.353144196,0,0.268957582,0.357913961
710,0,0,0,0.262899275,0,0,0,0,0.362056996,0,0.2551556,0.351392639
715,0,0,0,0.256200493,0,0,0,0,0.361656169,0,0.247789218,0.349782698
720,0,0,0,0.243038127,0,0,0,0,0.355954816,0,0.235117077,0.344353608
725,0,0,0,0.237551229,0,0,0,0,0.353135055,0,0.230258394,0.34229379
730,0,0,0,0.229546968,0,0,0,0,0.346795712,0,0.223111092,0.337072499
735,0,0,0,0.223160196,0,0,0,0,0.342747877,0,0.217719797,0.334392062
740,0,0,0,0.211390735,0,0,0,0,0.338367506,0,0.206291262,0.330204916
745,0,0,0,0.204996885,0,0,0,0,0.335130333,0,0.200667367,0.328052406
750,0,0,0,0.198318081,0,0,0,0,0.329719477,0,0.193987235,0.322519104
755,0,0,0,0.193952455,0,0,0,0,0.327083487,0,0.189438363,0.319470874
760,0,0,0,0.184105624,0,0,0,0,0.322877531,0,0.179421817,0.314663247
765,0,0,0,0.177374467,0,0,0,0,0.319824722,0,0.172275556,0.310630852
770,0,0,0,0.171031429,0,0,0,0,0.317724945,0,0.165526461,0.307498371
775,0,0,0,0.166410414,0,0,0,0,0.31241723,0,0.160637763,0.301579712
780,0,0,0,0.162304548,0,0,0,0,0.307405848,0,0.156689729,0.296771345
785,0,0,0,0.158140545,0,0,0,0,0.303983019,0,0.153579909,0.295216414
790,0,0,0,0.152569022,0,0,0,0,0.300774556,0,0.148721624,0.293189797
795,0,0,0,0.14775941,0,0,0,0,0.297736912,0,0.144874879,0.291924549
800,0,0,0,0.141239081,0,0,0,0,0.294994097,0,0.139393989,0.291140409
805,0,0,0,0.137637319,0,0,0,0,0.292612297,0,0.136289402,0.289746672
810,0,0,0,0.134461344,0.000141597,0,0,0,0.288167247,0.00030346,0.133243827,0.285557956
815,0,0,0,0.132719841,0.000376692,0,0,0,0.283328958,0.000804157,0.131868838,0.281512246
820,0,0,0,0.129514109,0.001089289,0,0,0,0.277824305,0.002336665,0.128250884,0.275114527
825,0,0,0,0.120516887,0.003600679,0,0,0,0.272820685,0.008151055,0.118598237,0.268477331
830,0,0,0,0.109642664,0.014233158,0,0,0,0.268252204,0.034822903,0.107088962,0.262004306
835,0,0,0,0.109478983,0.057141792,0,0,0,0.265101126,0.138367685,0.106396798,0.257637676
840,0,0,0,0.115231226,0.108150295,0,0,0,0.259751692,0.243790013,0.111775715,0.251962354
845,0,0,0,0.095936217,0.114179449,0,0,0,0.210591149,0.250637164,0.111781316,0.245372982
850,0,0,0,0.023539491,0.106532354,0,0,0,0.05430633,0.24577342,0.104721806,0.24159643
855,0,0,0,0.003358133,0.09831996,0,0,0,0.008424603,0.246656861,0.096720165,0.242643431
860,0,0,0,0.00062569,0.088727119,0,0,0,0.001701969,0.241350804,0.086828974,0.236187569
865,0,0,0,0.000168375,0.086784073,0,0,0,0.000460734,0.23747197,0.084102089,0.230133112
870,0,0,0,5.72753E-05,0.088974241,0,0,0,0.000149309,0.231943964,0.085361641,0.222526399
875,0,0,0,0,0.08863708,0,0,0,0,0.226762985,0.081829835,0.2093478
880,0,0,0,0,0.086646377,0,0,0,0,0.221403887,0.069983749,0.178826564
885,0,0,0,0,0.081019409,0,0,0,0,0.215366924,0.049492918,0.131562766
890,0,0,0,0,0.070659214,0,0,0,0,0.208031667,0.027032413,0.079587608
895,0,0,0,0,0.064655738,0,0,0,0,0.201576771,0.011943698,0.03723679
900,0,0,0,0,0.063553637,0,0,0,0,0.194070392,0.004802245,0.014664361
905,0,0,0,0,0.063434825,0,0,0,0,0.186229053,0.002109855,0.006194017
910,0,0,0,0,0.062613032,0,0,0,0,0.177061315,0.001012294,0.002862634
915,0,0,0,0,0.058968455,0,0,0,0,0.173881384,0,0
920,0,0,0,0,0.05320971,0,0,0,0,0.166744457,0,0
925,0,0,0,0,0.049524224,0,0,0,0,0.157755213,0,0
930,0,0,0,0,0.047102437,0,0,0,0,0.147984612,0,0
935,0,0,0,0,0.045817638,0,0,0,0,0.14018373,0,0
940,0,0,0,0,0.044579338,0,0,0,0,0.133166089,0,0
945,0,0,0,0,0.041747446,0,0,0,0,0.129032486,0,0
950,0,0,0,0,0.038024945,0,0,0,0,0.124724863,0,0
955,0,0,0,0,0.034813109,0,0,0,0,0.116204469,0,0
960,0,0,0,0,0.032215599,0,0,0,0,0.107975411,0,0
965,0,0,0,0,0.02950818,0,0,0,0,0.10014975,0,0
970,0,0,0,0,0.026835545,0,0,0,0,0.092587405,0,0
975,0,0,0,0,0.026220618,0,0,0,0,0.084351692,0,0
980,0,0,0,0,0.026208295,0,0,0,0,0.075767856,0,0
985,0,0,0,0,0.023941799,0,0,0,0,0.068442726,0,0
990,0,0,0,0,0.020519546,0,0,0,0,0.06249583,0,0
995,0,0,0,0,0.017064135,0,0,0,0,0.059039664,0,0
1000,0,0,0,0,0.013613649,0,0,0,0,0.054859103,0,0
1005,0,0,0,0,0.01298518,0,0,0,0,0.049097855,0,0
1010,0,0,0,0,0.012271684,0,0,0,0,0.041398702,0,0
1015,0,0,0,0,0.011653218,0,0,0,0,0.034038246,0,0
1020,0,0,0,0,0.010948492,0,0,0,0,0.028006996,0,0
1025,0,0,0,0,0.010280728,0,0,0,0,0.023457001,0,0
1030,0,0,0,0,0.009629191,0,0,0,0,0.020148475,0,0
1035,0,0,0,0,0.008949853,0,0,0,0,0.017355134,0,0
1040,0,0,0,0,0.008273483,0,0,0,0,0.014714751,0,0
1045,0,0,0,0,0.007568311,0,0,0,0,0.012410794,0,0
1050,0,0,0,0,0.006889863,0,0,0,0,0.009793568,0,0
1055,0,0,0,0,0.006204606,0,0,0,0,0.007882406,0,0
1060,0,0,0,0,0.005525234,0,0,0,0,0.006485887,0,0
1065,0,0,0,0,0.004832109,0,0,0,0,0.005297481,0,0
1070,0,0,0,0,0.004139003,0,0,0,0,0.004589311,0,0
1075,0,0,0,0,0.003454199,0,0,0,0,0.003890437,0,0
1080,0,0,0,0,0.002764038,0,0,0,0,0.003185616,0,0
1085,0,0,0,0,0.002083025,0,0,0,0,0.002491829,0,0
1090,0,0,0,0,0.001390606,0,0,0,0,0.002085909,0,0
1095,0,0,0,0,0.000695446,0,0,0,0,0.002086339,0,0
1100,0,0,0,0,0,0,0,0,0,0.001560423,0,0
